Module,Sub-Module,Job/File,Source System,Source Table/File,Target System,Target Table,Transformation Logic,Key Columns,Time Granularity
202602_FTTH,Mart Sales Order,f_ftth_sales_order.sql,BigQuery,"stg_rbm_dly_ac, stg_catalist_dly_ba, stg_catalist_dly_ordr, ftth_hpm",BigQuery,ftth_cst_new_sales_order,"Sales Order processing (New Registration only); join RBMAC for customer ref; join HPM for site_id","ca_id, ba_id, customer_id, billing_account, asset_name, mbl_no, email, product_name, product_id, so_date, hpid, homepass_id, site_id, salesperson",Daily
202602_FTTH,Mart Subscribers,f_ftth_cpp_order_completed.sql,BigQuery,"stg_catalist_dly_ordr, stg_catalist_dly_ca, stg_catalist_dly_ba, stg_catalist_dly_ast",BigQuery,ftth_cpp_order_complete,"Change Package extraction; filter by 'Change Package' order type; extract product Add/Delete; join CA/BA/AST","ca_id, ba_id, customer_id, billing_account, package_before, package_after, po_date, so_date, cpp_date, status_package, order_type",Daily
202602_FTTH,Mart Subscribers,f_ftth_hifi_cumulative_subs.sql,BigQuery,"ioh_ftth.ftth_subscriber_vw, stg_catalist_dly_ast, stg_catalist_dly_ba, cpp_order_complete_temp, mlg_ftth_product_catalog, exz_ftth_hpdb_ref_native, tysg_master_homepass_rfs",BigQuery,ftth_cumulative_subs,"HiFi cumulative build; range join CPP with non-overlap end dates; speed extraction regex; contract type parsing; ONT MAC lookup; tenure calc","customer_id, billing_account, ca_id, ba_id, ac_st_dt, tenure_day, aon_category, so_date, sa_date, pa_date, current_package_date, product_before, product_after, speed_before, speed_after, contract_type, current_package_price, total_cpp, asset_name, address, email, serial_number, ont_mac",Daily
202602_FTTH,Mart Subscribers,f_ftth_orbit_cumulative_subs.sql,BigQuery,"tysg_ftth_orbit_cumulative_subs, stg_catalist_dly_ba, tysg_ftth_cpp_orbit, ftth_cumulative_subs (prev day), exz_ftth_hpdb_ref_native",BigQuery,ftth_cumulative_subs,"Orbit (MNC) cumulative; filter 10-digit BA; join prev day cumulative for carry-forward; merge HiFi KPIs; speed extraction","customer_id, billing_account, ca_id, ba_id, ac_st_dt, tenure_day, aon_category, so_date, sa_date, pa_date, current_package_date, legacy_package, package_before, product_after, speed_before, speed_current, contract_type, total_cpp, serial_number, ont_mac",Daily
202602_FTTH,Mart Gross Add,f_ftth_hifi_gross_add.sql,BigQuery,"ioh_ftth.ftth_customer_funneling_complete_vw, ftth_cumulative_subs (EOP prev month / yesterday / today)",BigQuery,ftth_cst_gross_add_v1,"GA daily vs EOP logic; compare today vs yesterday for daily GA; compare today vs EOP prev month for MTD GA; identify rejoiner vs new GA","customer_id, billing_account, ca_id, ba_id, pa_date, product_after, speed_current, contract_type, current_package_date, asset_name, address, serial_number, ont_mac, flag_subs (GA/Rejoiner)",Daily
202602_FTTH,Mart Gross Churn,f_ftth_hifi_gross_churn.sql,BigQuery,"tysg_hifi_hist_gc_v1, ftth_cumulative_subs (yesterday)",BigQuery,ftth_cst_gross_churn_v1,"HiFi churn: left anti-join yesterday active subs vs today for daily churn; left anti-join EOP prev month for MTD churn","customer_id, billing_account, ca_id, ba_id, current_status, ac_st_rsn, ac_st_dt, pa_date, product_after, speed_current, gross_churn_date",Daily
202602_FTTH,Mart Gross Churn,f_ftth_mnc_gross_churn.sql,BigQuery,"tysg_mnc_hist_gc_v1, ftth_cumulative_subs (yesterday)",BigQuery,ftth_cst_gross_churn_v1,"MNC churn: same logic as HiFi; filter 10-digit billing accounts","customer_id, billing_account, ca_id, ba_id, current_status, ac_st_rsn, ac_st_dt, pa_date, product_after, speed_current, gross_churn_date",Daily
202602_FTTH,Mart Rejoin,f_ftth_hifi_rejoin.sql,BigQuery,"tysg_hifi_hist_rejoin_v1, ftth_cumulative_subs (yesterday/today)",BigQuery,ftth_cst_rejoin_v1,"Rejoin: active today but not yesterday AND pa_date < start_current_month; capture previous churn data","customer_id, billing_account, ca_id, ba_id, current_status, ac_st_rsn, ac_st_dt, pa_date, product_after, speed_current, rejoin_date",Daily
202602_FTTH,Mart Rejoin,f_ftth_mnc_rejoin.sql,BigQuery,"tysg_mnc_hist_rejoin_v1, ftth_cumulative_subs (yesterday/today)",BigQuery,ftth_cst_rejoin_v1,"MNC rejoin: same logic as HiFi for MNC brand","customer_id, billing_account, ca_id, ba_id, current_status, ac_st_rsn, ac_st_dt, pa_date, product_after, speed_current, rejoin_date",Daily
202512_Postpaid,Subscribers,postpaid_subs.sql,BigQuery,"stg_siebel_dly_ordr, stg_siebel_dly_asset, stg_siebel_dly_acc, postpaid_asset_rtl, ar_cst_pstpaid_rtl",BigQuery,cst_pstpaid_rtl_v1,"Identify GA vs recurring subs; join Siebel order/asset/account; filter non-terminated; lookup network_flag/imei/card_type","msisdn, ac_st, ac_id, ac_num, ast_st, ast_product_id, pkg_nm, ast_actvn_dt, ast_termination_dt, ast_contract_expiry_dt, network_flag, card_tp, contract_expiry_dt",Daily
202512_Postpaid,Revenue,postpaid_rev_tableu.sql,BigQuery,"cst_pstpaid_rtl_v1, rbm_pstpaid_rev_ast, pstpaid_ref_region, ref_pstpaid_rtl_dealer, ref_pstpaid_rtl_pkg",BigQuery,postpaid_rev_tbleu,"Multi-stage revenue processing; bill cycle buckets; revenue allocation by account count; null-asset revenue distribution; region/dealer/pkg joins; tenure calc","msisdn, ac_num, invoice_number, pkg_nm, service_usage_type, rev_code, amt_rev, tenure, channel, region, pkg_cat, bill_cycle, service_id, dt_id",Daily
202512_Postpaid,GA/Churn,postpaid_ga_churn.sql,BigQuery,"cst_pstpaid_rtl_v1, stg_siebel_dly_ordr",BigQuery,"cst_pstpaid_ga_v1, cst_pstpaid_churn_v1","GA/Churn identification; daily & MTD flags; GA = active today not yesterday/EOP; Churn = active yesterday/EOP not today; churn type categorization","msisdn, ac_st, product_id, pkg_nm, network_flag, dealer_id, pfx_hlr, hlr_region, bill_cycle, order_type, salesperson",Daily
202512_Master_Tracker_SND,DM,mst_dm_fct_ga_site_id.sql,BigQuery,Multiple acquisition/GA tables,BigQuery,dm_fct_ga_site_id,GA with site ID mapping; acquisition tagging,"site_id, msisdn, ga_date, brand, channel",Daily
202512_Master_Tracker_SND,DM,mst_dm_secondary_outlet.sql,BigQuery,Secondary distribution tables,BigQuery,dm_secondary_outlet,Secondary outlet distribution mart,"outlet_id, dealer_id, brand, region",Daily
202512_Master_Tracker_SND,DM,mst_dm_secondary_prisec.sql,BigQuery,Primary/Secondary sales tables,BigQuery,dm_secondary_prisec,Primary-secondary sales channel mapping,"channel_id, pri_sec_flag, brand",Daily
202512_Master_Tracker_SND,DM,mst_dm_snd_rgu_ga_new_detail.sql,BigQuery,RGU and GA detail tables,BigQuery,dm_snd_rgu_ga_new_detail,SND RGU GA new detail mart,"msisdn, rgu_flag, ga_date, site_id",Daily
202512_Master_Tracker_SND,DM,mst_fct_ga_acq_new.sql,BigQuery,Acquisition fact tables,BigQuery,fct_ga_acq_new,New acquisition fact table,"msisdn, acq_date, channel, brand",Daily
202512_Master_Tracker_SND,DM,mst_osa_imei_dly.sql,BigQuery,OSA and IMEI tables,BigQuery,osa_imei_dly,Daily OSA IMEI tracking,"imei, osa_date, brand, status",Daily
202512_Master_Tracker_SND,DM,mst_trd_dm_injection_mtd.sql,BigQuery,Trade injection tables,BigQuery,trd_dm_injection_mtd,Trade injection MTD mart,"dealer_id, injection_amount, brand, dt_id",Monthly (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_stock.sql,BigQuery,data-bi-prd-935c.bi_mart.mis_agg_stock_daily,BigQuery,ioh_snd_master_kpi_detail,"DELETE/INSERT pattern; stock KPI by outlet/partner; time_flag=mtd","brand, level, level_value, value, time_flag, kpi (stock_with_outlet), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_revenue.sql,BigQuery,data-dtp-prd-aa1a.smy.revenue_per_site_extended,BigQuery,ioh_snd_master_kpi_detail,"Revenue KPI: tot_rev_all/tot_rev_mobo/mobo_rev_trad/isimple_rev; divide by 1.11 tax","brand, level, level_value, value, time_flag, kpi (tot_rev_all/tot_rev_mobo/etc), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_tertiary.sql,BigQuery,data-bi-prd-935c.bi_mart.project_ioh_tertiary_outlet,BigQuery,ioh_snd_master_kpi_detail,"Tertiary distribution KPI by outlet","brand, level, level_value, value, time_flag, kpi (tertiary metrics), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_primary.sql,BigQuery,Primary distribution tables,BigQuery,ioh_snd_master_kpi_detail,"Primary distribution KPI","brand, level, level_value, value, time_flag, kpi (primary metrics), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_secondary.sql,BigQuery,Secondary distribution tables,BigQuery,ioh_snd_master_kpi_detail,"Secondary distribution KPI","brand, level, level_value, value, time_flag, kpi (secondary metrics), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_acq_rev.sql,BigQuery,Acquisition revenue tables,BigQuery,ioh_snd_master_kpi_detail,"Acquisition revenue KPI","brand, level, level_value, value, time_flag, kpi (acq_rev), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_rgu_ga.sql,BigQuery,RGU GA tables,BigQuery,ioh_snd_master_kpi_detail,"RGU Gross Add KPI","brand, level, level_value, value, time_flag, kpi (rgu_ga), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_trade_demand.sql,BigQuery,data-dtptechm-prd-c7ca.dwh.prt_daily_channel_movement_fct,BigQuery,ioh_snd_master_kpi_detail,"Trade demand KPI: demand_30_saldo","brand, level, level_value, value, time_flag, kpi (demand_30_saldo), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_trade_supply.sql,BigQuery,Trade supply tables,BigQuery,ioh_snd_master_kpi_detail,"Trade supply KPI","brand, level, level_value, value, time_flag, kpi (trade_supply), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_osa.sql,BigQuery,OSA tables,BigQuery,ioh_snd_master_kpi_detail,"OSA (On-Shelf Availability) KPI","brand, level, level_value, value, time_flag, kpi (osa metrics), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_qsso_m0.sql,BigQuery,QSSO tables,BigQuery,ioh_snd_master_kpi_detail,"QSSO M0 quality KPI","brand, level, level_value, value, time_flag, kpi (qsso_m0), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_quro.sql,BigQuery,QURO tables,BigQuery,ioh_snd_master_kpi_detail,"QURO quality KPI","brand, level, level_value, value, time_flag, kpi (quro), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_uro.sql,BigQuery,URO tables,BigQuery,ioh_snd_master_kpi_detail,"URO KPI","brand, level, level_value, value, time_flag, kpi (uro), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_sso_pjp.sql,BigQuery,SSO PJP tables,BigQuery,ioh_snd_master_kpi_detail,"SSO PJP KPI","brand, level, level_value, value, time_flag, kpi (sso_pjp), dt_id",Daily (MTD)
202512_Master_Tracker_SND,KPI,mst_ioh_surv_m2.sql,BigQuery,Survivability tables,BigQuery,ioh_snd_master_kpi_detail,"Survivability M2 KPI","brand, level, level_value, value, time_flag, kpi (surv_m2), dt_id",Daily (MTD)
202512_Master_Tracker_SND,SUBJECT - Acquisition,Multiple SQL files,BigQuery,Multiple acquisition source tables,BigQuery,Subject-level acquisition tables,"Acquisition metrics: new adds by channel/region/brand; IM3/3ID segmentation","msisdn, acq_date, channel, dealer_id, site_id, brand, region",Daily
202512_Master_Tracker_SND,SUBJECT - Churn,Multiple SQL files,BigQuery,Multiple churn source tables,BigQuery,Subject-level churn tables,"Churn metrics: 30d/90d churn by tenure/ARPU segment","msisdn, churn_date, tenure, arpu_segment, brand",Daily
202512_Master_Tracker_SND,SUBJECT - Revenue,Multiple SQL files,BigQuery,"data-dtp-prd-aa1a.smy.revenue_per_site_extended, data-cvm-prd-c324.dm.cvm_revenue_dashboard",BigQuery,Subject-level revenue tables,"Revenue breakdown: organic/mobo/VAS/voice/SMS; CVM revenue","site_id, rev_type, rev_amount, brand, dt_id",Daily
202512_Master_Tracker_SND,SUBJECT - Data Business,Multiple SQL files,BigQuery,GGSN/SGE/CS5 data tables,BigQuery,Subject-level data business tables,"Data usage/volume KPIs: traffic by technology/site","site_id, data_volume, technology, brand",Daily
202512_Master_Tracker_SND,SUBJECT - Digital,Multiple SQL files,BigQuery,"MyIM3/IMKAS transaction tables",BigQuery,Subject-level digital tables,"Digital metrics: MyIM3 DAU/MAU/DPU; IMKAS topup/p2p/bill payment","user_id, transaction_type, amount, dt_id",Daily
202512_Master_Tracker_SND,SUBJECT - Distribution,Multiple SQL files,BigQuery,Distribution/outlet tables,BigQuery,Subject-level distribution tables,"Distribution metrics: primary/secondary/tertiary; outlet coverage","outlet_id, dealer_id, distribution_level, brand",Daily
202512_Master_Tracker_SND,SUBJECT - Sales,Multiple SQL files,BigQuery,Sales order/channel tables,BigQuery,Subject-level sales tables,"Sales metrics by channel/region/product","sales_id, channel, product, region, brand",Daily
202512_Master_Tracker_SND,SUBJECT - Subscriber,Multiple SQL files,BigQuery,VLR/RGU/subscriber tables,BigQuery,Subject-level subscriber tables,"Subscriber base metrics: VLR daily/30d/90d; RGU counts by segment","msisdn, vlr_status, rgu_flag, technology, brand",Daily
202512_Master_Tracker_SND,SUBJECT - FWA,Multiple SQL files,BigQuery,FWA-specific tables,BigQuery,Subject-level FWA tables,"FWA subscriber and usage metrics","msisdn, fwa_status, usage, brand",Daily
202512_Master_Tracker_SND,SUBJECT - Others,Multiple SQL files,BigQuery,Miscellaneous source tables,BigQuery,Subject-level other tables,"Other operational KPIs","Various",Daily
202512_SMS_Report,Revenue IM3,rev_load_mart_im3.sql,BigQuery,data-dtp-prd-aa1a.smy.revenue_per_site_extended,BigQuery,"circle_im3_sms_report_kpi, sms_report_circle","Revenue breakdown: organic data/mobo/VAS/voice/SMS/other; divide by 1.11 tax; join site ref for circle/region","kpi_id (REV0001-REV0006), kpi_code, site_id, rev_net, circle, region_circle, brand (IM3), flag (D-1/D-2/D-7/MTD/LMTD)",Daily
202512_SMS_Report,Revenue 3ID,rev_load_mart_3id.sql,BigQuery,"h3i_revenue_per_site_extended, h3i_revenue_per_site_extended_others_detail, ref_site_h3i",BigQuery,"circle_tri_sms_report_kpi, sms_report_circle","3ID/TRI revenue KPI: mobo/organic/loan fees/voice/SMS/VAS; RITA amort/markup handling; left-pad site_id","kpi_id (REV0001-REV0006), kpi_code, site_id, rev_net, circle, region_circle, brand (TRI), flag (D-1/D-2/D-7/MTD/LMTD)",Daily
202512_SMS_Report,VLR IM3,vlr_load_mart_im3.sql,BigQuery,"vlr_site_wise, ar_cst_dly_smy, stg_nio_appsrtgout_5g, ref_site",BigQuery,sms_report_circle,"VLR daily subs by technology: 5G from appsrtgout; 4G default; 3G/2G from technology field; count distinct MSISDN","kpi_id (SUB0006-SUB0010), kpi_code (vlr_daily/5g/4g/3g/2g), circle, region_circle, brand (IM3)",Daily
202512_SMS_Report,VLR 3ID,vlr_load_mart_3id.sql,BigQuery,"fct_vlr_sites, ref_site_h3i",BigQuery,"circle_tri_sms_report_kpi, sms_report_circle","3ID VLR: system codes for technology; left-pad site_id","kpi_id (SUB0006-SUB0010), kpi_code, circle, region_circle, brand (TRI)",Daily
202512_SMS_Report,Traffic IM3,Multiple traffic SQL files,BigQuery,data-dtp-prd-aa1a.smy.revenue_per_site_extended,BigQuery,sms_report_circle,"Voice duration (hours); SMS hits; data volume (TB); by site/circle","kpi_code (traffic metrics), site_id, circle, brand (IM3)",Daily
202512_SMS_Report,Traffic 3ID,Multiple traffic SQL files,BigQuery,h3i_revenue_per_site_extended,BigQuery,sms_report_circle,"Voice/SMS/data traffic for 3ID brand","kpi_code (traffic metrics), site_id, circle, brand (TRI)",Daily
202512_fwa,FWA GA Tagging,tri_FWA_GA_Tagging_Sales.sql,BigQuery,"stg_lms_booking_info, fct_ga_site_id, sbscrptn_attribs, angie_activations, angie_hrchy_dim, ref_site_h3i",BigQuery,Result set (SELECT),"FWA SIM tagging: join LMS booking with GA site_id; map to retail hierarchy; tag usage via first_usage_date; 250MB threshold","DISTRICT, REGION, BRANCH, CSE, MP3, TSS, DSE, booking_by, trx_retailer, product_type, msisdn, status, first_usage_date, fulfill_threshold_usage, value_usage_in_mb",Ad-hoc
202512_fwa,FWA Revenue,tri_report_fwa_calenderized_rev_v2.sql,BigQuery,data-bi-prd-935c.bi_mart.fwa_cal_rev,BigQuery,Result set (SELECT),"FWA revenue reporting: filter FWA product group; sum gross/net revenue and amortization","report_date_sk_id, mth_rpt, fwa_tag, product_grp, product_name, service_type_name, category, revenue_src_ctgry, gl_cd, source_channel, gross_rev, net_rev, amort",Monthly
202512_Prepaid_Tracker_Nat,IM3 - Churn,prepaid_tracker_im3_churn_30d.sql,BigQuery,"rgs_churn_30d_dly_govt, rgs_churn_back_30d_govt, rgs_churn_back_90d_govt",BigQuery,kpi_national_tracker_dly,"30d churn by tenure (Inflow ≤90d / Base >90d) and ARPU (LVC ≤30k / MVC ≤100k / HVC >100k); 27 KPI metrics","dt_id, tenure, arpu, subs, amount, kpi_id (CRN0045-CRN0080), kpi_code, brand (IM3), flag (DLY)",Daily
202512_Prepaid_Tracker_Nat,IM3 - Reload,prepaid_tracker_im3_reload.sql,BigQuery,"daily_kpi_tracker_national_wise_it_report, ar_cst_dly_smy, sdp_dedicated_account_shadow",BigQuery,kpi_national_tracker_dly,"Reload KPIs: recharge count/amount/unique/MTD; voucher inject/hits/redemption; balance segments (MA/DA combinations)","dt_id, kpi_id (RLD0001-RLD0019), kpi_code, flag (DLY/AVG/MTD), brand (IM3)",Daily
202512_Prepaid_Tracker_Nat,IM3 - Subscriber,prepaid_tracker_im3_subscriber_base_daily.sql,BigQuery,"VLR, RGU daily tables",BigQuery,kpi_national_tracker_dly,"VLR daily active; 30d/90d retention; RGU counts by segment","dt_id, kpi_code, subs_count, brand (IM3)",Daily
202512_Prepaid_Tracker_Nat,IM3 - Revenue,prepaid_tracker_im3_revenue_organic.sql,BigQuery,"Revenue per site extended, billing tables",BigQuery,kpi_national_tracker_dly,"ARPU; organic data revenue; myIM3; e-wallet revenue","dt_id, kpi_code, rev_amount, brand (IM3)",Daily
202512_Prepaid_Tracker_Nat,IM3 - Sales,prepaid_tracker_im3_sales.sql,BigQuery,Sales order tables,BigQuery,kpi_national_tracker_dly,"GA/acquisition by channel/dealer/product","dt_id, kpi_code, ga_count, brand (IM3)",Daily
202512_Prepaid_Tracker_Nat,IM3 - Data Business,prepaid_tracker_im3_data_business.sql,BigQuery,"GGSN, SGE, CS5 data",BigQuery,kpi_national_tracker_dly,"Data traffic; UU counts; 30d/90d usage","dt_id, kpi_code, data_volume, brand (IM3)",Daily
202512_Prepaid_Tracker_Nat,IM3 - Digital,prepaid_tracker_im3_digital.sql,BigQuery,"MyIM3, IMKAS transaction tables",BigQuery,kpi_national_tracker_dly,"MyIM3 DAU/MAU/DPU; IMKAS topup/p2p/bill payment","dt_id, kpi_code, user_count, brand (IM3)",Daily
