Module,Sub-Module,Job/File,Primary Data Product,360 Data Product,BI Mart,Reporting Mart,Report Name,KPI,Classification Reasoning
202512_SMS_Report,UU 3ID,uu_load_mart_3id.sql,Usage Fact,Subscriber360,SMS Report Traffic Mart,SMS Report Circle Summary,SMS Circle Report - 3ID UU,"Unique Users Daily, UU 5G, UU 4G, UU 3G, UU 2G","3ID unique user counts by technology from IOH data user daily; maps to circle via subscriber site attributes"
202512_SMS_Report,UU Postpaid,uu_load_mart_post.sql,Usage Fact,Subscriber360,Postpaid SMS Report Mart,Postpaid SMS Report Summary,SMS Circle Report - Postpaid UU,"Unique Users Daily, UU 5G, UU 4G, UU 3G, UU 2G","Postpaid unique data users by technology; non-prepaid segment from GGSN traffic data"
202512_SMS_Report,Reload IM3,rld_load_mart_im3.sql,Recharge Transactions,Subscriber360,SMS Report Reload Mart,SMS Report Circle Summary,SMS Circle Report - IM3 Reload,"Reload Revenue, Reload Unique Users, Reload Hits","IM3 reload (recharge) metrics: revenue/unique users/transaction hits; mapped from gateway recharge data to circle via subscriber favorite location"
202512_SMS_Report,Reload 3ID,rld_load_mart_3id.sql,Recharge Transactions,Subscriber360,SMS Report Reload Mart,SMS Report Circle Summary,SMS Circle Report - 3ID Reload,"Reload Revenue, Reload Unique Users, Reload Hits","3ID reload metrics from H3I recharge daily summary; subscriber site attributes for circle mapping"
202512_Postpaid,Subscribers,postpaid_subs.sql,Subscriber Base,Customer360,Postpaid Subscriber Mart,,Postpaid Subscriber Report,"Active Subscribers, GA Count, Network Flag Distribution, Contract Status","Postpaid subscriber lifecycle: GA vs recurring identification; Siebel order/asset/account joins; network flag/IMEI/card type enrichment"
202512_Postpaid,Revenue,postpaid_rev_tableu.sql,Billing Fact,Customer360,Postpaid Revenue Mart,Postpaid Revenue Summary,Postpaid Revenue Tableau Dashboard,"ARPU, Revenue by Service Type, Revenue by Package, Tenure-based Revenue","Multi-stage postpaid revenue: bill cycle bucketing; revenue allocation by account count; null-asset distribution; region/dealer/package enrichment"
202512_Postpaid,GA/Churn,postpaid_ga_churn.sql,Subscriber Base,Customer360,Postpaid Lifecycle Mart,,Postpaid GA/Churn Report,"Gross Add, Gross Churn, Net Add, Churn Rate, Churn by Type","Daily & MTD GA/Churn flags: GA = active today not yesterday/EOP; Churn = active yesterday/EOP not today; churn type categorization"
202602_Postpaid,Network Performance,ne_perf_daily.py,Network Fact,,Network Performance Mart,Daily Network KPI Feed,Network Performance Dashboard,"IP Link Usage, RSRP, Streaming QoE, EUT, Voice Quality","Network performance ingestion from SFTP Excel files; RAR decompression; site-level daily/weekly metrics for network quality monitoring"
202602_Postpaid,Postpaid GA,gcp_daily_ga.py,Subscriber Base,Customer360,Postpaid Activation Mart,,Postpaid Daily GA Report,"Daily Gross Add, Activation Count","Daily new verification file ingestion with 47-field mapping; encoding detection; feeds both BigQuery and Hadoop/Impala"
202602_Postpaid,Reference Data,reference_update.py,Product Master,,,,,"Store Count, RCE Coverage, DSA Coverage","Reference data maintenance: storelist/IS mapping/DSA mapping/promotor mapping/branch mapping; MERGE upsert pattern"
202602_Postpaid,Postpaid KPI,pst_daily_kpi.py,,,Postpaid KPI Mart,Postpaid Daily KPI Summary,Postpaid KPI Dashboard,"Postpaid Daily KPIs (aggregated)","Daily KPI aggregation and export to Excel/CSV; distributed via rclone to shared drive"
202602_Postpaid,Retail 3ID,retail_3id_kpi.py,,,Retail Performance Mart,Retail KPI Summary,Retail 3ID Dashboard,"FCR (First Call Resolution), CSAT (Customer Satisfaction)","3ID brand retail KPI calculation: FCR and CSAT metrics by store"
202602_Postpaid,Retail IM3,retail_im3_kpi.py,,,Retail Performance Mart,Retail KPI Summary,Retail IM3 Dashboard,"FCR, CSAT","IM3 brand retail KPI: same structure as 3ID but for IM3 stores"
202602_Postpaid,Retail Daily,rtl_daily_kpi.py,,,Retail Performance Mart,Retail Daily KPI Summary,Retail Daily KPI Dashboard,"Daily Retail KPIs","Daily retail KPI aggregation across brands; distributed to GCS and Cloud Drive"
202602_Postpaid,Retail Master,retail_raw_master_kpi.py,,,Retail Performance Mart,,,"Master Retail KPIs","Master KPI consolidation for retail: single source of truth for retail metrics"
202602_FTTH,Site ID - New BA,f_ftth_generate_site_id_for_new_ba.sql,Customer Master,,FTTH Infrastructure Mart,,,"Site Coverage, Homepass Utilization","FTTH site ID generation for new business accounts; matches customer coordinates to homepass database; infrastructure reference reconciliation"
202602_FTTH,Site ID - SA Recon,f_ftth_generate_site_id_recon_sa.sql,Customer Master,,FTTH Infrastructure Mart,,,"SA Coverage, Anomaly Rate","Service activation site ID reconciliation; flags anomalies for uncovered areas; joins HPDB for homepass identification"
202602_FTTH,Site ID - GA Recon,f_ftth_generate_site_id_recon_ga.sql,Customer Master,,FTTH Infrastructure Mart,,,"GA Site Coverage","Gross add site ID reconciliation; excludes already-covered customers; maps device IDs from FAT_ID"
202602_FTTH,Site ID - Update,f_ftth_update_sa_ga_site_id_recon.sql,Customer Master,,FTTH Infrastructure Mart,,,"Reference Completeness","MERGE procedure consolidating SA/GA temp tables into master reference; dynamic column list generation"
202602_FTTH,Orbit Staging 1,orbit_stagging_1.sql,Subscriber Base,Customer360,FTTH Subscriber Mart,,,"FTTH Active Base, Suspended Base, Terminated Base","Orbit MNC FTTH subscriber staging: account status determination (Active/Suspend/Terminate); package and tenure tracking"
202602_FTTH,Orbit Staging 2,orbit_stagging_2.sql,Subscriber Base,Customer360,FTTH Subscriber Mart,,,"Change Package Count, ONT Device Count","Orbit subscriber insert with change package and ONT device tracking; daily snapshot pattern"
202602_FTTH,Orbit Staging 3,orbit_stagging_3.sql,Product Master,,FTTH Change Package Mart,,,"CPP Count, Speed Upgrade/Downgrade Count","Change package (CPP) event classification: speed changes; normalization activities; MASSLOADER vs manual CPP"
202602_FTTH,Orbit Staging 4,orbit_stagging_4.sql,Subscriber Base,Customer360,FTTH Subscriber Mart,,,"Cumulative Subscriber Base","Orbit cumulative subscribers build: latest package/CPP history/customer contact; daily cumulative snapshot"
202602_FTTH,Sales Order,f_ftth_sales_order.sql,Subscriber Base,Customer360,FTTH Sales Order Mart,FTTH Sales Summary,FTTH Sales Dashboard,"FTTH New Sales Order, Sales by Region, Sales by Salesperson","FTTH new registration sales orders; customer/product details; salesperson and location hierarchy for sales tracking"
202602_FTTH,CPP Order,f_ftth_cpp_order_completed.sql,Product Master,Customer360,FTTH Change Package Mart,,,"Change Package Completed, Speed Migration Count","Change package completed orders for HiFi and MNC; before/after product tracking; status_package classification"
202602_FTTH,HiFi Cumulative Subs,f_ftth_hifi_cumulative_subs.sql,Subscriber Base,Customer360,FTTH Subscriber Lifecycle Mart,FTTH Subscriber Summary,FTTH Subscriber Dashboard,"FTTH Active Base, Tenure Distribution, AON Category, Contract Type Mix, Package Revenue","HiFi cumulative subscriber mart: daily snapshots with tenure/package history/contract type/ONT device; core reusable FTTH subscriber dataset"
202602_FTTH,Orbit Cumulative Subs,f_ftth_orbit_cumulative_subs.sql,Subscriber Base,Customer360,FTTH Subscriber Lifecycle Mart,FTTH Subscriber Summary,FTTH Subscriber Dashboard,"FTTH MNC Active Base, Tenure Distribution, Contract Type Mix","MNC Orbit cumulative subscribers: same structure as HiFi; 10-digit BA filter; carry-forward from previous day"
202602_FTTH,HiFi Gross Add,f_ftth_hifi_gross_add.sql,Subscriber Base,Customer360,FTTH Gross Add Mart,FTTH GA Summary,FTTH GA Dashboard,"Gross Add (New), Rejoiner Count, Net New Adds","HiFi gross adds: true new vs rejoiner identification; daily and MTD comparison against EOP previous month"
202602_FTTH,HiFi Gross Churn,f_ftth_hifi_gross_churn.sql,Subscriber Base,Customer360,FTTH Gross Churn Mart,FTTH Churn Summary,FTTH Churn Dashboard,"Gross Churn, Churn Rate, Churn by Reason","HiFi churn events: anti-join yesterday active vs today; captures status reason for churn classification"
202602_FTTH,MNC Gross Churn,f_ftth_mnc_gross_churn.sql,Subscriber Base,Customer360,FTTH Gross Churn Mart,FTTH Churn Summary,FTTH Churn Dashboard,"MNC Gross Churn, Churn Rate","MNC Orbit churn: same anti-join logic as HiFi; filtered to 10-digit billing accounts for MNC brand"
202602_FTTH,HiFi Rejoin,f_ftth_hifi_rejoin.sql,Subscriber Base,Customer360,FTTH Rejoin Mart,FTTH Rejoin Summary,FTTH Rejoin Dashboard,"Rejoin Count, Rejoin Rate","HiFi rejoin events: active today but not yesterday AND pa_date before current month start; captures previous churn data"
202602_FTTH,MNC Rejoin,f_ftth_mnc_rejoin.sql,Subscriber Base,Customer360,FTTH Rejoin Mart,FTTH Rejoin Summary,FTTH Rejoin Dashboard,"MNC Rejoin Count, Rejoin Rate","MNC rejoin events: same logic as HiFi for Orbit/MNC brand customers"
202512_fwa,FWA GA Tagging,tri_FWA_GA_Tagging_Sales.sql,Subscriber Base,Product360,FWA Sales Tagging Mart,,FWA GA Sales Report,"FWA Gross Add, FWA Activation Rate, Usage Fulfillment Rate","FWA SIM tagging with retail hierarchy; LMS booking to GA matching; 250MB usage threshold fulfillment tracking"
202512_fwa,FWA Revenue,tri_report_fwa_calenderized_rev_v2.sql,Revenue Fact,,FWA Revenue Mart,FWA Revenue Summary,FWA Revenue Report,"FWA Gross Revenue, FWA Net Revenue, FWA Amortization","FWA calendarized revenue by product/service type/channel; financial reporting with GL code breakdown"
202512_Master_Tracker_SND,DM - GA Site ID,mst_dm_fct_ga_site_id.sql,Subscriber Base,,SND Acquisition Mart,,Master Tracker SND Dashboard,"GA by Site, GA by Channel, GA by Brand","Gross add with site ID mapping; acquisition tagging for distribution tracking"
202512_Master_Tracker_SND,DM - Secondary Outlet,mst_dm_secondary_outlet.sql,Product Master,,SND Distribution Mart,,Master Tracker SND Dashboard,"Secondary Outlet Count, Outlet Coverage","Secondary outlet distribution mart; outlet-dealer-brand-region mapping"
202512_Master_Tracker_SND,DM - Pri/Sec,mst_dm_secondary_prisec.sql,Product Master,,SND Distribution Mart,,Master Tracker SND Dashboard,"Primary-Secondary Channel Mix","Primary vs secondary sales channel classification"
202512_Master_Tracker_SND,DM - RGU GA Detail,mst_dm_snd_rgu_ga_new_detail.sql,Subscriber Base,,SND RGU Mart,,Master Tracker SND Dashboard,"RGU GA New, RGU by Site","RGU gross add new detail: subscriber-level RGU flagging with site attribution"
202512_Master_Tracker_SND,DM - Acq New,mst_fct_ga_acq_new.sql,Subscriber Base,,SND Acquisition Mart,,Master Tracker SND Dashboard,"New Acquisition Count","New acquisition fact: channel/brand level acquisition tracking"
202512_Master_Tracker_SND,DM - OSA IMEI,mst_osa_imei_dly.sql,Product Master,,SND Device Mart,,Master Tracker SND Dashboard,"OSA Rate, IMEI Registered","Daily OSA IMEI tracking: on-shelf availability of devices by brand"
202512_Master_Tracker_SND,DM - Trade Injection,mst_trd_dm_injection_mtd.sql,Revenue Fact,,SND Trade Mart,,Master Tracker SND Dashboard,"Trade Injection Amount MTD","Trade injection MTD mart: dealer-level injection amounts by brand"
202512_Master_Tracker_SND,KPI - Stock,mst_ioh_stock.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Stock with Outlet","Stock KPI by outlet/partner; DELETE/INSERT pattern into master KPI detail table"
202512_Master_Tracker_SND,KPI - Revenue,mst_ioh_revenue.sql,Revenue Fact,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Total Revenue, Mobo Revenue, Traditional Mobo Revenue, iSimple Revenue","Revenue KPI from revenue_per_site_extended; tax-adjusted (÷1.11); multi-brand aggregation"
202512_Master_Tracker_SND,KPI - Tertiary,mst_ioh_tertiary.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Tertiary Distribution Metrics","Tertiary distribution KPI by outlet from IOH tertiary project"
202512_Master_Tracker_SND,KPI - Primary,mst_ioh_primary.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Primary Distribution Metrics","Primary distribution KPI; top-level supply chain metrics"
202512_Master_Tracker_SND,KPI - Secondary,mst_ioh_secondary.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Secondary Distribution Metrics","Secondary distribution KPI; dealer-level distribution tracking"
202512_Master_Tracker_SND,KPI - Acq Revenue,mst_ioh_acq_rev.sql,Revenue Fact,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Acquisition Revenue","Revenue attributed to new acquisitions"
202512_Master_Tracker_SND,KPI - RGU GA,mst_ioh_rgu_ga.sql,Subscriber Base,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"RGU Gross Add","RGU gross add KPI aggregated for master tracker"
202512_Master_Tracker_SND,KPI - Trade Demand,mst_ioh_trade_demand.sql,Revenue Fact,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Trade Demand (30d Saldo)","Trade demand KPI from daily channel movement fact; demand_30_saldo metric"
202512_Master_Tracker_SND,KPI - Trade Supply,mst_ioh_trade_supply.sql,Revenue Fact,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Trade Supply","Trade supply KPI; supply chain inbound metrics"
202512_Master_Tracker_SND,KPI - OSA,mst_ioh_osa.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"OSA (On-Shelf Availability)","On-shelf availability KPI; measures product availability at retail points"
202512_Master_Tracker_SND,KPI - QSSO M0,mst_ioh_qsso_m0.sql,Subscriber Base,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"QSSO M0 (Quality SSO Month-0)","Quality of SSO at month-0; measures initial activation quality"
202512_Master_Tracker_SND,KPI - QURO,mst_ioh_quro.sql,Subscriber Base,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"QURO (Quality URO)","Quality URO KPI; measures quality of unique registered outlets"
202512_Master_Tracker_SND,KPI - URO,mst_ioh_uro.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"URO (Unique Registered Outlet)","Unique registered outlet count; measures outlet registration coverage"
202512_Master_Tracker_SND,KPI - SSO PJP,mst_ioh_sso_pjp.sql,Product Master,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"SSO PJP (Permanent Journey Plan)","SSO PJP KPI; measures sales force visit plan compliance"
202512_Master_Tracker_SND,KPI - Survivability M2,mst_ioh_surv_m2.sql,Subscriber Base,,SND KPI Mart,SND Master KPI Summary,Master Tracker SND Dashboard,"Survivability M2","Subscriber survivability at month-2; measures retention quality of new acquisitions"
202512_Master_Tracker_SND,SUBJECT - Acquisition,Multiple SQL files,Subscriber Base,Subscriber360,SND Acquisition Mart,SND Acquisition Summary,Master Tracker SND Dashboard,"GA by Channel, GA by Region, GA by Brand","Acquisition subject: new adds by channel/region/brand; IM3/3ID segmentation"
202512_Master_Tracker_SND,SUBJECT - Churn,Multiple SQL files,Subscriber Base,Subscriber360,SND Churn Mart,SND Churn Summary,Master Tracker SND Dashboard,"30d Churn, 90d Churn, Churn by Tenure, Churn by ARPU","Churn subject: 30d/90d churn segmented by tenure and ARPU bands"
202512_Master_Tracker_SND,SUBJECT - Revenue,Multiple SQL files,Revenue Fact,Subscriber360,SND Revenue Mart,SND Revenue Summary,Master Tracker SND Dashboard,"Organic Revenue, Mobo Revenue, VAS Revenue, Voice Revenue, SMS Revenue, CVM Revenue","Revenue subject: full breakdown by type including CVM revenue dashboard integration"
202512_Master_Tracker_SND,SUBJECT - Data Business,Multiple SQL files,Usage Fact,Subscriber360,SND Data Business Mart,SND Data Summary,Master Tracker SND Dashboard,"Data Volume, Data UU, 30d/90d Data Usage","Data business subject: GGSN/SGE/CS5 traffic by technology and site"
202512_Master_Tracker_SND,SUBJECT - Digital,Multiple SQL files,Usage Fact,,SND Digital Mart,SND Digital Summary,Master Tracker SND Dashboard,"MyIM3 DAU, MyIM3 MAU, MyIM3 DPU, IMKAS Topup, IMKAS P2P, IMKAS Bill Payment","Digital subject: MyIM3 app metrics and IMKAS transaction KPIs"
202512_Master_Tracker_SND,SUBJECT - Distribution,Multiple SQL files,Product Master,Outlet360,SND Distribution Mart,SND Distribution Summary,Master Tracker SND Dashboard,"Primary Distribution, Secondary Distribution, Tertiary Distribution, Outlet Coverage","Distribution subject: primary/secondary/tertiary supply chain; outlet coverage metrics"
202512_Master_Tracker_SND,SUBJECT - Sales,Multiple SQL files,Revenue Fact,,SND Sales Mart,SND Sales Summary,Master Tracker SND Dashboard,"Sales by Channel, Sales by Product, Sales by Region","Sales subject: channel/region/product level sales tracking"
202512_Master_Tracker_SND,SUBJECT - Subscriber,Multiple SQL files,Subscriber Base,Subscriber360,SND Subscriber Mart,SND Subscriber Summary,Master Tracker SND Dashboard,"VLR Daily, VLR 30d, VLR 90d, RGU Count","Subscriber subject: VLR active base and RGU counts by segment and technology"
202512_Master_Tracker_SND,SUBJECT - FWA,Multiple SQL files,Subscriber Base,Product360,SND FWA Mart,SND FWA Summary,Master Tracker SND Dashboard,"FWA Subscriber Base, FWA Usage","FWA subject: fixed wireless access subscriber and usage metrics within SND framework"
202512_Master_Tracker_SND,SUBJECT - Others,Multiple SQL files,,,SND Operational Mart,SND Operational Summary,Master Tracker SND Dashboard,"Miscellaneous Operational KPIs","Other operational KPIs not categorized under main subjects"
202512_Prepaid_Tracker_Nat,IM3 - Churn,prepaid_tracker_im3_churn_30d.sql,Subscriber Base,Subscriber360,Prepaid Churn Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"30d Churn (Inflow ≤90d), 30d Churn (Base >90d), Churn by ARPU (LVC/MVC/HVC), Churn Back 30d, Churn Back 90d","IM3 prepaid 30d churn: segmented by tenure (inflow vs base) and ARPU bands (LVC ≤30k/MVC ≤100k/HVC >100k); 27 KPI metrics"
202512_Prepaid_Tracker_Nat,IM3 - Reload,prepaid_tracker_im3_reload.sql,Recharge Transactions,Subscriber360,Prepaid Reload Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"Recharge Count, Recharge Amount, Recharge UU, Voucher Inject, Voucher Hits, Voucher Redemption, Balance Segments (MA/DA)","IM3 reload KPIs: recharge volume/value/unique users; voucher lifecycle; balance segment analysis using MA/DA combinations"
202512_Prepaid_Tracker_Nat,IM3 - Subscriber,prepaid_tracker_im3_subscriber_base_daily.sql,Subscriber Base,Subscriber360,Prepaid Subscriber Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"VLR Daily Active, 30d Retention, 90d Retention, RGU Count","IM3 prepaid subscriber base: VLR active counts with 30d/90d retention and RGU segmentation"
202512_Prepaid_Tracker_Nat,IM3 - Revenue,prepaid_tracker_im3_revenue_organic.sql,Revenue Fact,Subscriber360,Prepaid Revenue Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"ARPU, Organic Data Revenue, MyIM3 Revenue, E-Wallet Revenue","IM3 prepaid revenue: ARPU calculation; organic data vs digital channel revenue breakdown"
202512_Prepaid_Tracker_Nat,IM3 - Sales,prepaid_tracker_im3_sales.sql,Subscriber Base,,Prepaid Sales Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"GA by Channel, GA by Dealer, GA by Product","IM3 prepaid sales/acquisition metrics by channel/dealer/product"
202512_Prepaid_Tracker_Nat,IM3 - Data Business,prepaid_tracker_im3_data_business.sql,Usage Fact,Subscriber360,Prepaid Data Business Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"Data Traffic Volume, Data UU, 30d/90d Data Usage","IM3 prepaid data business: GGSN/SGE/CS5 traffic and unique user counts"
202512_Prepaid_Tracker_Nat,IM3 - Digital,prepaid_tracker_im3_digital.sql,Usage Fact,,Prepaid Digital Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"MyIM3 DAU, MyIM3 MAU, MyIM3 DPU, IMKAS Topup, IMKAS P2P","IM3 digital metrics: MyIM3 app engagement and IMKAS payment transaction tracking"
202512_Prepaid_Tracker_Nat,3ID - VLR/Subscriber,Multiple 3ID SQL files,Subscriber Base,Subscriber360,Prepaid Subscriber Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"3ID VLR Count, Technology Breakdown, Site-Level Metrics","3ID VLR subscriber counts with technology (5G/4G/3G/2G) and site-level granularity"
202512_Prepaid_Tracker_Nat,3ID - IOH KPI,Multiple IOH KPI SQL files,Subscriber Base,Subscriber360,Prepaid RGU Movement Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"RGU Movement, Handset by RGS 30/90d, Distribution Metrics","3ID IOH KPIs: RGU movement by favloc/site; handset distribution by recharge gross segment"
202512_Prepaid_Tracker_Nat,3ID - Digital,Multiple digital tracker SQL files,Usage Fact,,Prepaid Digital Mart,National Tracker Daily Summary,Prepaid National Tracker Dashboard,"BIMA App Metrics, Digital Interaction Count","3ID digital metrics: BIMA app engagement and digital interaction tracking"
